source,target
anchukaitis2017,buntgen2016
helama2017,buntgen2016
pilo2018,buntgen2016
pilo2020,buntgen2016
zachrisson2017,buntgen2016
skre2019,buntgen2016
lund2021,burstrom2014
burstrom2015,burstrom2014
lund2021,burstrom2015
aannestad2018,burstrom2015
eriksen2017,burstrom2015
lund2021,callmer2017
lund2021,cannell2016
bill2019,cannell2016
ellingsen2019,cannell2016
skre2019,cannell2016
lund2021,carver2015
croix2019,carver2015
price2010,carver2015
lund2021,catlin2016
catlin2016,catlin2016
lund2021,chenery2014
jarman2018,chenery2014
montgomery2014,chenery2014
peschel2017,chenery2014
raffield2016,chenery2014
raffield2015,chenery2014
raffield2019,chenery2014
lund2021,christensen2018
stott2019,christensen2018
lund2021,christensen2013
gardela2018,christensen2013
ulriksen2018,christensen2013
lund2021,christiansen2019
lund2021,clarke2017
skre2019,clarke2017
lund2021,croix2012
croix2015,croix2012
pedersen2019,croix2012
lund2021,croix2015
ashby2015,croix2015
croix2019,croix2015
NOAUTHOR28,croix2015
sindbaek2018,croix2015
lund2021,croix2016
croix2019,croix2016
lund2021,croix2020
lund2021,croix2019
lund2021,crumlinpedersen2010
pedersen2019,crumlinpedersen2010
sindbaek2017,crumlinpedersen2010
lund2021,devos2013
croix2019,devos2013
devos2013,devos2013
wouters2016,devos2013
lund2021,diamond2005
dugmore2012,diamond2005
dugmore2007,diamond2005
hartman2017,diamond2005
keller2016,diamond2005
jackson2018,diamond2005
tainter2006,diamond2005
lund2021,dobat2006
carver2015,dobat2006
pluskowskind,dobat2006
lund2021,dobat2013
croix2019,dobat2013
gardela2018,dobat2013
rasmussen2014,dobat2013
lund2021,dobat2014
runge2018,dobat2014
NOAUTHOR28,dobat2014
lund2021,domeijlundborg2004
domeijlundborg2012,domeijlundborg2004
lund2008,domeijlundborg2004
lund2010,domeijlundborg2004
lund2017,domeijlundborg2004
lund2021,domeijlundborg2012
lund2021,downham2015
lund2021,draganits2015
tonning2020,draganits2015
schneidhofer2017,draganits2015
skre2019,draganits2015
lund2021,dugmore2007
barrett2008,dugmore2007
barrett2010,dugmore2007
dugmore2012,dugmore2007
smith2018,dugmore2007
hartman2017,dugmore2007
keller2016,dugmore2007
jackson2018,dugmore2007
vesteinssonnd,dugmore2007
frei2015,dugmore2007
lund2021,dugmore2012
dugmore2012,dugmore2012
hartman2017,dugmore2012
jackson2018,dugmore2012
mainland2018,dugmore2012
schmid2017,dugmore2012
lund2021,edberg2019
lund2021,englert2015
hilberg2013,englert2015
sindbaek2017,englert2015
lund2021,eriksen2016
beck2017,eriksen2016
eriksen2017,eriksen2016
heenpettersen2018,eriksen2016
lund2021,eriksen2017
raffield2018,eriksen2017
raffield2019,eriksen2017
lund2021,eriksen2019
lund2021,eriksen1994
bergstol2004,eriksen1994
lund2019,eriksen1994
spangennd,eriksen1994
lund2021,eriksson2018
lund2021,fahlander2016
fahlander2018,fahlander2016
fahlander2016,fahlander2016
lund2021,fahlander2018
lund2021,fallgren2008
hillerdal2010,fallgren2008
lund2021,feveile2011
dobat2013,feveile2011
christiansen2019,feveile2011
lund2021,feveile2009
ashby2015,feveile2009
croix2015,feveile2009
feveile2009,feveile2009
NOAUTHOR36,feveile2009
lund2021,feveile2017
lund2021,fischer2011
lund2021,fontaine2017
raffield2019,fontaine2017
lund2021,forster2009
baug2015,forster2009
baug2017,forster2009
sindbaek2016,forster2009
lund2021,fredriksen2014
fredriksen2014,fredriksen2014
martin2020,fredriksen2014
lund2021,frei2012
frei2012,frei2012
henriksen2017,frei2012
price2018,frei2012
price2014,frei2012
price2012,frei2012
lund2021,frieman2019
furholt2019,frieman2019
lund2021,frog2014
croix2015,frog2014
lund2021,furholt2018
frieman2019,furholt2018
furholt2019,furholt2018
lund2021,furholt2019
furholt2019,furholt2019
lund2021,gardela2008
NOAUTHOR8,gardela2008
gardela2007,gardela2008
gardela2018,gardela2008
milek2012,gardela2008
NOAUTHOR36,gardela2008
lund2021,gardela2013
androshchuk2018,gardela2013
edberg2019,gardela2013
NOAUTHOR8,gardela2013
gardela2018,gardela2013
gardela2015,gardela2013
harris2017,gardela2013
hedenstiernajonson2017,gardela2013
NOAUTHOR14,gardela2013
price2014,gardela2013
price2019,gardela2013
raffield2016,gardela2013
raffield2019,gardela2013
toplak2018,gardela2013
toplak2015,gardela2013
williams2016,gardela2013
gardeland,gardela2013
moen2020,gardela2013
lund2021,gardela2012
eriksen2013,gardela2012
NOAUTHOR8,gardela2012
gardela2018,gardela2012
gardeland,gardela2012
jackson2018,gardela2012
price2014,gardela2012
raffield2018,gardela2012
raffield2019,gardela2012
ulriksen2018,gardela2012
sanmark2013,gardela2012
toplak2018,gardela2012
lund2021,gardela2015
croix2015,gardela2015
fahlander2018,gardela2015
gardela2018,gardela2015
NOAUTHOR14,gardela2015
toplak2018,gardela2015
toplak2015,gardela2015
lund2021,gardela2018
gardela2018,gardela2018
raffield2019,gardela2018
lund2021,gerds2015
croix2019,gerds2015
lund2021,gjerpe2008
forest2011,gjerpe2008
rasmussen2014,gjerpe2008
lund2021,gjerpe2017
moen2020,gjerpe2017
lund2021,glorstad2012
aannestad2018,glorstad2012
downham2015,glorstad2012
gustin2017,glorstad2012
raffield2016,glorstad2012
pedersen2017,glorstad2012
peschel2017,glorstad2012
stene2017,glorstad2012
lund2021,glorstad2014
heenpettersen2018,glorstad2014
lund2021,glorstad2015
aannestad2018,glorstad2015
ellingsen2019,glorstad2015
heenpettersen2019,glorstad2015
heenpettersen2018,glorstad2015
lund2021,goodchild2017
christensen2018,goodchild2017
NOAUTHOR28,goodchild2017
stott2019,goodchild2017
lund2021,gossler2018
lund2021,grahamcampbell2013
gardela2018,grahamcampbell2013
lund2021,grahamcampbell2011
glorstad2012,grahamcampbell2011
griffiths2019,grahamcampbell2011
heenpettersen2014,grahamcampbell2011
ijssennagger2015,grahamcampbell2011
kershaw2017,grahamcampbell2011
raffield2014,grahamcampbell2011
rogers2020,grahamcampbell2011
svendsen2016,grahamcampbell2011
skre2017,grahamcampbell2011
lund2021,graslund2007
fredriksen2014,graslund2007
gardela2018,graslund2007
gustin2017,graslund2007
forest2011,graslund2007
zachrisson2017,graslund2007
lund2021,graslund2018
bill2019,graslund2018
skre2019,graslund2018
lund2021,griffiths2019
griffiths2019,griffiths2019
lund2021,griffiths2003
griffiths2019,griffiths2003
mainland2018,griffiths2003
williams2015,griffiths2003
lund2021,gruszczynski2018
lund2021,gullbekk2011
aannestad2018,gullbekk2011
lund2021,gustafsson2011
christiansen2019,gustafsson2011
gustafsson2016,gustafsson2011
lund2021,gustafsson2016
lund2021,hadley2016
hadley2018,hadley2016
hadley2016,hadley2016
jarman2018,hadley2016
raffield2019,hadley2016
richards2018,hadley2016
rogers2020,hadley2016
lund2021,hadley2018
richards2018,hadley2018
raffield2019,hadley2018
lund2021,hadley2013
mcleod2011,hadley2013
perry2016,hadley2013
raffield2016,hadley2013
williams2017,hadley2013
lund2021,halewood2001
lund2021,hall2014
buckberry2014,hall2014
raffield2019,hall2014
lund2021,hallansstenholm2012
fahlander2018,hallansstenholm2012
fahlander2016,hallansstenholm2012
lund2016,hallansstenholm2012
zachrisson2017,hallansstenholm2012
beck2017,hallansstenholm2012
lund2021,halstadmcguire2010
leonard2011,halstadmcguire2010
price2020,halstadmcguire2010
lund2021,hansen2017
lund2021,hansson2018
lund2021,hardh2010
christiansen2019,hardh2010
lund2021,hardh2016
hrnjic2018,hardh2016
lund2021,harris2017
odeback2018,harris2017
lund2021,harrison2015
anchukaitis2017,harrison2015
odeback2018,harrison2015
lund2021,harrison2014
aannestad2018,harrison2014
catlin2016,harrison2014
gardela2018,harrison2014
griffiths2019,harrison2014
hartman2017,harrison2014
harris2017,harrison2014
harrison2015,harrison2014
kelly2015,harrison2014
price2019,harrison2014
williams2016,harrison2014
frei2015,harrison2014
lund2021,smith2018
lund2021,hedjakobsson2003
barndon2018,hedjakobsson2003
lundborgnd,hedjakobsson2003
lund2006,hedjakobsson2003
pedersenndb,hedjakobsson2003
lund2021,hedeager2003
domeijlundborg2012,hedeager2003
lund2008,hedeager2003
lund2020,hedeager2003
lundborgnd,hedeager2003
lund2010,hedeager2003
lund2017,hedeager2003
NOAUTHOR18,hedeager2003
pluskowskind,hedeager2003
spangennd,hedeager2003
lund2021,hedeager2004
barndon2018,hedeager2004
eriksen2013,hedeager2004
fabech2013,hedeager2004
eriksen2016,hedeager2004
hedeager2010,hedeager2004
kalmring2018,hedeager2004
larsson2007,hedeager2004
lund2015,hedeager2004
lund2017,hedeager2004
pedersenndb,hedeager2004
lund2021,hedeager2010
fahlander2018,hedeager2010
eriksen2016,hedeager2010
lund2021,hedeager2011
aannestad2018,hedeager2011
arwillnordbladhnd,hedeager2011
draganits2014,hedeager2011
carver2015,hedeager2011
eriksen2013,hedeager2011
fahlander2018,hedeager2011
fahlander2016,hedeager2011
fredriksen2014,hedeager2011
gardeland,hedeager2011
heenpettersen2018,hedeager2011
mannering2013,hedeager2011
lund2015,hedeager2011
lund2013,hedeager2011
lund2017,hedeager2011
lund2016,hedeager2011
price2014,hedeager2011
osullivan2015,hedeager2011
raffield2016,hedeager2011
price2018,hedeager2011
raffield2019,hedeager2011
williams2016,hedeager2011
moen2020,hedeager2011
lund2021,hedenstiernajonson2006
ambrosiani2015,hedenstiernajonson2006
bill2016,hedenstiernajonson2006
domeijlundborg2012,hedenstiernajonson2006
gardela2018,hedenstiernajonson2006
gustin2017,hedenstiernajonson2006
hedenstiernajonson2015,hedenstiernajonson2006
linderholm2008,hedenstiernajonson2006
kalmring2018,hedenstiernajonson2006
pedersen2015,hedenstiernajonson2006
odeback2018,hedenstiernajonson2006
axelsen2014,hedenstiernajonson2006
price2011,hedenstiernajonson2006
price2019,hedenstiernajonson2006
raninen2014,hedenstiernajonson2006
raffield2015,hedenstiernajonson2006
raffield2019,hedenstiernajonson2006
lund2021,hedenstiernajonson2012
kalmring2017,hedenstiernajonson2012
kalmring2012,hedenstiernajonson2012
lund2021,hedenstiernajonson2015
eriksen2017,hedenstiernajonson2015
raffield2019,hedenstiernajonson2015
williams2016,hedenstiernajonson2015
lund2021,hedenstiernajonson2017
androshchuk2018,hedenstiernajonson2017
croix2019,hedenstiernajonson2017
edberg2019,hedenstiernajonson2017
gardela2018,hedenstiernajonson2017
krzewinska2018,hedenstiernajonson2017
lund2019,hedenstiernajonson2017
mainland2018,hedenstiernajonson2017
odeback2018,hedenstiernajonson2017
price2019,hedenstiernajonson2017
raffield2019,hedenstiernajonson2017
moen2020,hedenstiernajonson2017
lund2021,heenpettersen2014
baug2019,heenpettersen2014
lund2021,heenpettersen2019
lund2021,heenpettersen2018
heenpettersen2019,heenpettersen2018
lund2021,helama2017
pilo2018,helama2017
lund2021,helmbrecht2011
arwillnordbladh2012,helmbrecht2011
arwillnordbladh2013,helmbrecht2011
arwillnordbladhnd,helmbrecht2011
domeijlundborg2012,helmbrecht2011
croix2019,helmbrecht2011
gardela2018,helmbrecht2011
helmbrecht2012,helmbrecht2011
mannering2013,helmbrecht2011
oehrl2017,helmbrecht2011
oehrl2019,helmbrecht2011
sindbaek2014,helmbrecht2011
lund2021,hennius2018
baug2019,hennius2018
loftsgarden2019,hennius2018
pilo2020,hennius2018
lund2021,henriksen2017
NOAUTHOR28,henriksen2017
lund2021,hilberg2013
hilberg2018,hilberg2013
lund2021,hilberg2018
lund2021,hilberg2014
ashby2015,hilberg2014
hilberg2013,hilberg2014
hilberg2018,hilberg2014
sindbaek2017,hilberg2014
star2017,hilberg2014
voncarnapbornheim2014,hilberg2014
lund2021,hillerdal2009
amundsen2017,hillerdal2009
gardela2015,hillerdal2009
gustin2017,hillerdal2009
hillerdal2010,hillerdal2009
moen2020,hillerdal2009
lund2021,hillerdal2010
devos2013,hillerdal2010
lund2021,n2017
croix2019,n2017
lund2021,hodges2012
ashby2015,hodges2012
carver2015,hodges2012
croix2019,hodges2012
gullbekk2014,hodges2012
hilberg2018,hodges2012
price2018,hodges2012
sindbaek2017,hodges2012
frei2015,hodges2012
lund2021,holmquist2013
lund2021,holst2010
beck2017,holst2010
buckberry2014,holst2010
jessen2014,holst2010
holst2014,holst2010
holst2013,holst2010
pedersen2019,holst2010
zachrisson2017,holst2010
lund2021,holst2014
buckberry2014,holst2014
pedersen2019,holst2014
thend,holst2014
NOAUTHOR28,holst2014
lund2021,holst2013
beck2018,holst2013
bill2019,holst2013
jessen2014,holst2013
jessen2016,holst2013
lund2017,holst2013
lund2016,holst2013
pedersen2019,holst2013
tummuscheitnd,holst2013
lund2021,hrnjic2018
lund2021,ibsen2010
croix2015,ibsen2010
jagodzinski2014,ibsen2010
lund2021,ijssennagger2013
baug2019,ijssennagger2013
croix2019,ijssennagger2013
ijssennagger2015,ijssennagger2013
lund2021,ijssennagger2015
lund2021,imer2014
lund2020,imer2014
lund2021,ingvardson2012
price2012,ingvardson2012
lund2021,iversen2013
fredriksen2014,iversen2013
iversennd,iversen2013
lund2021,iversen2015
furholt2019,iversen2015
iversennd,iversen2015
lund2021,jackson2019
lund2021,jagodzinski2014
lund2021,jahnsen2016
lund2021,jankowiak2018
lund2021,janowski2015
lund2021,jennbert2015
williams2016,jennbert2015
lund2021,jensen2010
NOAUTHOR8,jensen2010
ellingsen2019,jensen2010
gardela2018,jensen2010
raffield2019,jensen2010
tveiten2017,jensen2010
lund2021,jesch2015
edberg2019,jesch2015
croix2015,jesch2015
heenpettersen2019,jesch2015
heenpettersen2018,jesch2015
jackson2018,jesch2015
NOAUTHOR21,jesch2015
price2019,jesch2015
price2018,jesch2015
raffield2018,jesch2015
raffield2019,jesch2015
sindbaek2017,jesch2015
williams2016,jesch2015
lund2021,jessen2016
beck2018,jessen2016
lund2021,jessen2014
bonde2016,jessen2014
bill2019,jessen2014
pedersen2019,jessen2014
skre2019,jessen2014
williams2016,jessen2014
lund2021,jones1997
amundsen2017,jones1997
anchukaitis2017,jones1997
bergstol2004,jones1997
croix2019,jones1997
buckberry2014,jones1997
glorstad2012,jones1997
glorstad2014,jones1997
gustin2017,jones1997
helama2017,jones1997
jahnsen2016,jones1997
kemmers2011,jones1997
lund2019,jones1997
lund2010,jones1997
nielsen2011,jones1997
roslund2005,jones1997
lund2021,jorgensen2009
andren2013,jorgensen2009
baastrup2014,jorgensen2009
ellingsen2019,jorgensen2009
gotfredsen2013,jorgensen2009
henriksen2014,jorgensen2009
henriksen2017,jorgensen2009
holst2014,jorgensen2009
hillerdal2010,jorgensen2009
holst2013,jorgensen2009
kalmring2017,jorgensen2009
runge2018,jorgensen2009
pedersen2019,jorgensen2009
NOAUTHOR28,jorgensen2009
skre2019,jorgensen2009
zachrissonnd,jorgensen2009
NOAUTHOR39,jorgensen2009
lund2021,jorgensen2010
borake2018,jorgensen2010
carver2015,jorgensen2010
gustafssonnd,jorgensen2010
loftsgarden2019,jorgensen2010
kalmring2017,jorgensen2010
pedersen2019,jorgensen2010
tonning2020,jorgensen2010
skre2019,jorgensen2010
lund2021,kalmring2010
ashby2015,kalmring2010
draganits2014,kalmring2010
gardeland,kalmring2010
lund2021,kalmring2012
jessen2016,kalmring2012
price2018,kalmring2012
weissnd,kalmring2012
lund2021,kalmring2018
lund2021,kalmring2013
hilberg2014,kalmring2013
price2018,kalmring2013
NOAUTHOR28,kalmring2013
lund2021,kalmring2017
price2018,kalmring2017
lund2021,kastholmhansen2015
lund2021,keller2016
lund2021,kelly2015
hadley2018,kelly2015
hadley2016,kelly2015
raffield2019,kelly2015
lund2021,kershaw2013
croix2019,kershaw2013
christiansen2019,kershaw2013
croix2015,kershaw2013
gardela2018,kershaw2013
hadley2018,kershaw2013
hadley2016,kershaw2013
ijssennagger2015,kershaw2013
kershaw2016,kershaw2013
kershaw2017,kershaw2013
osullivan2015,kershaw2013
pedersen2017,kershaw2013
richards2018,kershaw2013
raffield2018,kershaw2013
rogers2020,kershaw2013
rasmussen2014,kershaw2013
sindbaek2016,kershaw2013
sindbaek2017,kershaw2013
vesteinsson2016,kershaw2013
moen2020,kershaw2013
lund2021,kershaw2016
jarman2018,kershaw2016
richards2018,kershaw2016
lund2021,kershaw2019
lund2021,kirpichnikov2018
lund2021,kleingartner2013
croix2015,kleingartner2013
kalmring2013,kleingartner2013
weissnd,kleingartner2013
lund2021,knudson2012
knudson2012,knudson2012
montgomery2014,knudson2012
peschel2017,knudson2012
lund2021,kovalenko2013
lund2021,kristjansdottir2015
zoega2017,kristjansdottir2015
lund2021,krzewinska2015
kershaw2016,krzewinska2015
krzewinska2018,krzewinska2015
lund2021,krzewinska2018
price2019,krzewinska2018
lund2021,larsson2007
bonde2016,larsson2007
gustin2017,larsson2007
hennius2018,larsson2007
hedeager2010,larsson2007
hillerdal2010,larsson2007
hardhnd,larsson2007
kalmring2018,larsson2007
price2018,larsson2007
poulsen2011,larsson2007
NOAUTHOR22,larsson2007
price2020,larsson2007
raffield2015,larsson2007
zachrissonnd,larsson2007
zachrisson2018,larsson2007
NOAUTHOR39,larsson2007
lund2021,lemm2014
pedersen2019,lemm2014
lund2021,leonard2011
lund2021,leslie2015
kershaw2016,leslie2015
jarman2018,leslie2015
richards2018,leslie2015
lund2021,lia2002
bill2012,lia2002
lund2005,lia2002
lund2013,lia2002
lund2021,lindholm2016
baug2019,lindholm2016
gustavsson2015,lindholm2016
hennius2018,lindholm2016
lund2021,ljungkvist2006
androshchuk2010,ljungkvist2006
bill2019,ljungkvist2006
graslundnd,ljungkvist2006
holst2013,ljungkvist2006
lindholm2016,ljungkvist2006
odeback2018,ljungkvist2006
price2019,ljungkvist2006
price2018,ljungkvist2006
lund2021,ljungkvist2018
lund2021,ljungkvist2015
bill2019,ljungkvist2015
ellingsen2019,ljungkvist2015
kalmring2017,ljungkvist2015
ljungkvist2018,ljungkvist2015
tonning2020,ljungkvist2015
skre2019,ljungkvist2015
lund2021,ljungkvist2011
heenpettersen2018,ljungkvist2011
jessen2014,ljungkvist2011
kalmring2012,ljungkvist2011
ljungkvist2015,ljungkvist2011
ljungkvist2018,ljungkvist2011
skre2019,ljungkvist2011
lund2021,loe2014
chenery2014,loe2014
hedenstiernajonson2017,loe2014
odeback2018,loe2014
raffield2016,loe2014
pricendb,loe2014
raffield2019,loe2014
